,name,list_categories
191,SANTA BARBARA OLIVE CO,"['Wallets', 'Accessories', 'Outerwear', 'Umbrellas', 'Accessories', 'Watches', 'Traditional Clothing', 'Jewelry', 'Accessories', 'Wallets', 'Watches', 'Belts']"
192,SUPERNOLA,['Vitamins and supplements']
193,ALTA HEALTH PRODUCTS,"['Handbags', 'Handbags', 'Shoes', 'Accessories', 'Outerwear', 'Activewear', 'Suits And Uniforms', 'Accessories', 'Shirts And Blouses', 'Pants And Shorts', 'Hats', 'Jewelry', 'Accessories', 'Scarves', 'Belts']"
194,SUGAR IN THE RAW,['Vitamins and supplements']
195,INNATE,"['Shoes', 'Tops And Sweaters', 'Traditional Clothing', 'Dresses']"
196,PAROMI TEA,"['Breakfast Foods', 'Quinoa', 'Cocoa powder', 'Jam', 'allegra', 'Vegetable and mushroom canned', 'Seeds', 'Millet', 'Herbs spices.', 'Almond', 'Fruits And Vegetables', 'Canned and baked food', 'Milk alternatives', 'Pasta', 'Hazelnut', 'Grain products and nuts', 'Snacks, Chips and Crackers', 'Flour', 'Sweeteners and sugar substitutes']"
197,MELISSA OBADASH,"['Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Skirts', 'One-Piece', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Outerwear', 'Swimwear', 'Suits And Uniforms', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Scarves', 'Sunglasses', 'Dresses']"
198,SIMPLY GUM,['Vitamins and supplements']
199,SLIMFAST,['Food And Drinks']
200,MEDITERRANEAN ORGANIC,['Shoes']
201,ARTISANA ORGANICS,['Food And Drinks']
202,SUNWEST FOODS,"['Tops And Sweaters', 'Apparel']"
203,GREENSTITCH FASHION,['Vitamins and supplements']
204,PajamaGram,"['Handbags', 'Handbags', 'Shoes', 'Accessories', 'Accessories', 'Accessories', 'Gloves']"
205,"MANISCHEWITZ COMPANY, THE","['Herbs spices.', 'Vitamins and supplements']"
206,NEW CHAPTER,"['Swimwear', 'Outerwear', 'Umbrellas', 'Swimwear', 'Suits And Uniforms', 'Traditional Clothing', 'Hats']"
207,ZINT,"['Apparel', 'Shirts And Blouses', 'Shirts', 'Polo shirts', 'T-shirts']"
208,JOVIAL,"['Cake', 'Food And Drinks', 'Baked Food']"
209,CLEAN FOODS INC,['Vitamins and supplements']
210,ETICA,['Food And Drinks']
211,SANTINI,"['Apparel', 'Activewear', 'Underwear And Lingerie', 'Shirts']"
212,PLANTFUSION,"['Beverage', 'Food And Drinks', 'Drinks']"
213,SUPER NUTRITION,"['Arabica coffee', 'Coffee']"
214,BARRINGTON COFFEE ROASTING,"['Confectionery', 'Soups', 'Sweeteners and sugar substitutes']"
215,HEAVENLY ORGANICS,"['Watches', 'Jewelry', 'Watches']"
216,BREW LA LA TEA,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Accessories', 'One-Piece', 'Tops And Sweaters', 'Outerwear', 'Umbrellas', 'Activewear', 'Swimwear', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Gloves', 'Scarves', 'Sunglasses', 'Belts']"
217,"SWEET EARTH, INC DBA SWEET EARTH NATURAL FOODS",['Suits And Uniforms']
218,NATURE´S ALL FOODS,['Shoes']
219,HOLO FOOTWEAR,['Breakfast Foods']
220,"VIVA TIERRA ORGANIC, INC","['Accessories', 'Accessories', 'Jewelry', 'Accessories', 'Dresses']"
221,CYTOSPORT,"['Tea', 'Food And Drinks', 'Coffee']"
